Year,Region Code,Region,BNF Chemical Substance Code,BNF Chemical Substance,BNF Product Code,BNF Product,Items,Total number of unique identified patients,Patient Identified (Y/N),Patient Age Band (Years old),Gender,Net Ingredient Cost (£)
Dec 22 - Nov 23,Y59,SOUTH EAST,0601023Y0,Exenatide,0601023Y0BC,Bydureon,3,3,Y,18-29,Male,220.08
Dec 22 - Nov 23,Y59,SOUTH EAST,0601023Y0,Exenatide,0601023Y0BC,Bydureon,78,70,Y,30-39,Female,"6,785.80"
Dec 22 - Nov 23,Y59,SOUTH EAST,0601023Y0,Exenatide,0601023Y0BC,Bydureon,36,31,Y,30-39,Male,"3,081.12"
Dec 22 - Nov 23,Y59,SOUTH EAST,0601023Y0,Exenatide,0601023Y0BC,Bydureon,270,232,Y,40-49,Female,"20,980.96"
Dec 22 - Nov 23,Y59,SOUTH EAST,0601023Y0,Exenatide,0601023Y0BC,Bydureon,188,169,Y,40-49,Male,"16,285.92"
Dec 22 - Nov 23,Y59,SOUTH EAST,0601023Y0,Exenatide,0601023Y0BC,Bydureon,677,590,Y,50-59,Female,"55,973.68"
Dec 22 - Nov 23,Y59,SOUTH EAST,0601023Y0,Exenatide,0601023Y0BC,Bydureon,660,575,Y,50-59,Male,"55,240.08"
Dec 22 - Nov 23,Y59,SOUTH EAST,0601023Y0,Exenatide,0601023Y0BC,Bydureon,"1,372","1,201",Y,60+,Female,"117,284.30"
Dec 22 - Nov 23,Y59,SOUTH EAST,0601023Y0,Exenatide,0601023Y0BC,Bydureon,"2,080","1,830",Y,60+,Male,"184,757.16"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AB,Liraglutide,0601023ABAA,Liraglutide,1,0,N,30-39,Not Known (not recorded),117.72
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AB,Liraglutide,0601023ABAA,Liraglutide,1,0,N,40-49,Not Known (not recorded),78.48
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AB,Liraglutide,0601023ABAA,Liraglutide,15,0,N,50-59,Not Known (not recorded),"1,608.84"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AB,Liraglutide,0601023ABAA,Liraglutide,29,0,N,60+,Not Known (not recorded),"3,256.92"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AB,Liraglutide,0601023ABAA,Liraglutide,72,59,Y,18-29,Female,"9,378.36"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AB,Liraglutide,0601023ABAA,Liraglutide,39,31,Y,18-29,Male,"4,551.84"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AB,Liraglutide,0601023ABAA,Liraglutide,253,221,Y,30-39,Female,"29,783.16"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AB,Liraglutide,0601023ABAA,Liraglutide,151,134,Y,30-39,Male,"14,558.04"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AB,Liraglutide,0601023ABAA,Liraglutide,848,726,Y,40-49,Female,"97,668.36"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AB,Liraglutide,0601023ABAA,Liraglutide,575,502,Y,40-49,Male,"76,361.04"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AB,Liraglutide,0601023ABAA,Liraglutide,"2,452","2,119",Y,50-59,Female,"302,540.40"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AB,Liraglutide,0601023ABAA,Liraglutide,"1,954","1,696",Y,50-59,Male,"247,761.36"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AB,Liraglutide,0601023ABAA,Liraglutide,"6,770","5,955",Y,60+,Female,"817,722.36"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AB,Liraglutide,0601023ABAA,Liraglutide,"6,770","5,903",Y,60+,Male,"847,152.36"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AB,Liraglutide,0601023ABBB,Victoza,3,0,N,30-39,Not Known (not recorded),274.68
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AB,Liraglutide,0601023ABBB,Victoza,6,0,N,40-49,Not Known (not recorded),470.88
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AB,Liraglutide,0601023ABBB,Victoza,38,0,N,50-59,Not Known (not recorded),"3,963.24"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AB,Liraglutide,0601023ABBB,Victoza,82,0,N,60+,Not Known (not recorded),"7,887.24"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AB,Liraglutide,0601023ABBB,Victoza,346,289,Y,18-29,Female,"33,118.56"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AB,Liraglutide,0601023ABBB,Victoza,158,126,Y,18-29,Male,"13,734.00"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AB,Liraglutide,0601023ABBB,Victoza,955,839,Y,30-39,Female,"100,493.64"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AB,Liraglutide,0601023ABBB,Victoza,491,433,Y,30-39,Male,"46,420.92"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AB,Liraglutide,0601023ABBB,Victoza,"2,778","2,419",Y,40-49,Female,"289,277.28"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AB,Liraglutide,0601023ABBB,Victoza,"1,428","1,236",Y,40-49,Male,"150,720.84"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AB,Liraglutide,0601023ABBB,Victoza,"5,891","5,056",Y,50-59,Female,"618,069.24"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AB,Liraglutide,0601023ABBB,Victoza,"4,548","3,909",Y,50-59,Male,"489,362.04"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AB,Liraglutide,0601023ABBB,Victoza,"11,192","9,695",Y,60+,Female,"1,207,807.20"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AB,Liraglutide,0601023ABBB,Victoza,"11,370","9,854",Y,60+,Male,"1,226,681.64"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AB,Liraglutide,0601023ABBC,Saxenda,1,0,N,40-49,Not Known (not recorded),156.96
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AB,Liraglutide,0601023ABBC,Saxenda,132,110,Y,18-29,Female,"20,601.00"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AB,Liraglutide,0601023ABBC,Saxenda,4,4,Y,18-29,Male,784.8
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AB,Liraglutide,0601023ABBC,Saxenda,309,254,Y,30-39,Female,"53,327.16"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AB,Liraglutide,0601023ABBC,Saxenda,47,38,Y,30-39,Male,"7,691.04"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AB,Liraglutide,0601023ABBC,Saxenda,432,362,Y,40-49,Female,"82,914.12"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AB,Liraglutide,0601023ABBC,Saxenda,89,78,Y,40-49,Male,"17,540.28"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AB,Liraglutide,0601023ABBC,Saxenda,501,434,Y,50-59,Female,"90,801.36"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AB,Liraglutide,0601023ABBC,Saxenda,236,185,Y,50-59,Male,"44,772.84"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AB,Liraglutide,0601023ABBC,Saxenda,494,426,Y,60+,Female,"89,584.92"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AB,Liraglutide,0601023ABBC,Saxenda,263,223,Y,60+,Male,"45,714.60"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AI,Lixisenatide,0601023AIAA,Lixisenatide,3,0,N,50-59,Not Known (not recorded),173.79
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AI,Lixisenatide,0601023AIAA,Lixisenatide,4,0,N,60+,Not Known (not recorded),231.72
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AI,Lixisenatide,0601023AIAA,Lixisenatide,8,8,Y,18-29,Female,463.44
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AI,Lixisenatide,0601023AIAA,Lixisenatide,13,11,Y,30-39,Female,"1,100.67"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AI,Lixisenatide,0601023AIAA,Lixisenatide,19,17,Y,30-39,Male,"1,100.67"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AI,Lixisenatide,0601023AIAA,Lixisenatide,97,90,Y,40-49,Female,"7,704.69"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AI,Lixisenatide,0601023AIAA,Lixisenatide,93,82,Y,40-49,Male,"6,372.32"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AI,Lixisenatide,0601023AIAA,Lixisenatide,563,492,Y,50-59,Female,"39,202.10"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AI,Lixisenatide,0601023AIAA,Lixisenatide,349,311,Y,50-59,Male,"24,069.94"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AI,Lixisenatide,0601023AIAA,Lixisenatide,939,821,Y,60+,Female,"63,467.84"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AI,Lixisenatide,0601023AIAA,Lixisenatide,988,873,Y,60+,Male,"72,394.64"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AI,Lixisenatide,0601023AIBB,Lyxumia,3,0,N,60+,Not Known (not recorded),231.72
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AI,Lixisenatide,0601023AIBB,Lyxumia,27,22,Y,40-49,Female,"2,085.48"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AI,Lixisenatide,0601023AIBB,Lyxumia,2,2,Y,40-49,Male,115.86
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AI,Lixisenatide,0601023AIBB,Lyxumia,54,48,Y,50-59,Female,"3,128.22"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AI,Lixisenatide,0601023AIBB,Lyxumia,81,73,Y,50-59,Male,"7,067.46"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AI,Lixisenatide,0601023AIBB,Lyxumia,170,147,Y,60+,Female,"11,962.60"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AI,Lixisenatide,0601023AIBB,Lyxumia,121,105,Y,60+,Male,"9,674.34"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AQ,Dulaglutide,0601023AQAA,Dulaglutide,6,0,N,40-49,Not Known (not recorded),586
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AQ,Dulaglutide,0601023AQAA,Dulaglutide,25,0,N,50-59,Not Known (not recorded),"1,794.63"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AQ,Dulaglutide,0601023AQAA,Dulaglutide,74,0,N,60+,Not Known (not recorded),"5,530.38"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AQ,Dulaglutide,0601023AQAA,Dulaglutide,99,86,Y,18-29,Female,"7,398.25"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AQ,Dulaglutide,0601023AQAA,Dulaglutide,72,67,Y,18-29,Male,"5,603.62"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AQ,Dulaglutide,0601023AQAA,Dulaglutide,428,372,Y,30-39,Female,"35,929.14"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AQ,Dulaglutide,0601023AQAA,Dulaglutide,314,266,Y,30-39,Male,"25,436.06"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AQ,Dulaglutide,0601023AQAA,Dulaglutide,"1,504","1,289",Y,40-49,Female,"118,207.13"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AQ,Dulaglutide,0601023AQAA,Dulaglutide,"1,472","1,245",Y,40-49,Male,"123,646.09"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AQ,Dulaglutide,0601023AQAA,Dulaglutide,"4,209","3,607",Y,50-59,Female,"349,786.89"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AQ,Dulaglutide,0601023AQAA,Dulaglutide,"4,110","3,556",Y,50-59,Male,"328,764.21"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AQ,Dulaglutide,0601023AQAA,Dulaglutide,"8,919","7,717",Y,60+,Female,"713,638.22"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AQ,Dulaglutide,0601023AQAA,Dulaglutide,"10,653","9,256",Y,60+,Male,"869,019.75"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AQ,Dulaglutide,0601023AQBB,Trulicity,3,0,N,18-29,Not Known (not recorded),293
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AQ,Dulaglutide,0601023AQBB,Trulicity,14,0,N,30-39,Not Known (not recorded),"1,025.50"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AQ,Dulaglutide,0601023AQBB,Trulicity,64,0,N,40-49,Not Known (not recorded),"4,688.00"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AQ,Dulaglutide,0601023AQBB,Trulicity,258,0,N,50-59,Not Known (not recorded),"19,447.87"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AQ,Dulaglutide,0601023AQBB,Trulicity,576,0,N,60+,Not Known (not recorded),"42,320.18"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AQ,Dulaglutide,0601023AQBB,Trulicity,884,753,Y,18-29,Female,"65,961.63"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AQ,Dulaglutide,0601023AQBB,Trulicity,443,382,Y,18-29,Male,"34,226.06"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AQ,Dulaglutide,0601023AQBB,Trulicity,"4,787","4,052",Y,30-39,Female,"362,752.12"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AQ,Dulaglutide,0601023AQBB,Trulicity,"2,862","2,447",Y,30-39,Male,"225,298.85"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AQ,Dulaglutide,0601023AQBB,Trulicity,"13,960","11,893",Y,40-49,Female,"1,087,341.52"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AQ,Dulaglutide,0601023AQBB,Trulicity,"11,116","9,453",Y,40-49,Male,"868,818.19"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AQ,Dulaglutide,0601023AQBB,Trulicity,"33,272","28,263",Y,50-59,Female,"2,593,507.78"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AQ,Dulaglutide,0601023AQBB,Trulicity,1,1,Y,50-59,Indeterminate (unable to be classified as either male or female),73.25
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AQ,Dulaglutide,0601023AQBB,Trulicity,"31,245","26,696",Y,50-59,Male,"2,457,372.26"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AQ,Dulaglutide,0601023AQBB,Trulicity,"56,434","48,141",Y,60+,Female,"4,459,771.27"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AQ,Dulaglutide,0601023AQBB,Trulicity,"68,256","58,289",Y,60+,Male,"5,362,339.43"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AU,Ins degludec/liraglutide,0601023AUAA,Ins degludec/liraglutide,5,5,Y,30-39,Male,955.3
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AU,Ins degludec/liraglutide,0601023AUAA,Ins degludec/liraglutide,13,12,Y,40-49,Female,"2,069.86"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AU,Ins degludec/liraglutide,0601023AUAA,Ins degludec/liraglutide,19,18,Y,50-59,Female,"1,751.39"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AU,Ins degludec/liraglutide,0601023AUAA,Ins degludec/liraglutide,54,46,Y,50-59,Male,"7,833.43"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AU,Ins degludec/liraglutide,0601023AUAA,Ins degludec/liraglutide,61,60,Y,60+,Female,"7,101.13"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AU,Ins degludec/liraglutide,0601023AUAA,Ins degludec/liraglutide,57,52,Y,60+,Male,"9,871.43"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AU,Ins degludec/liraglutide,0601023AUBB,Xultophy,1,0,N,40-49,Not Known (not recorded),127.37
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AU,Ins degludec/liraglutide,0601023AUBB,Xultophy,3,0,N,50-59,Not Known (not recorded),477.65
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AU,Ins degludec/liraglutide,0601023AUBB,Xultophy,6,0,N,60+,Not Known (not recorded),636.87
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AU,Ins degludec/liraglutide,0601023AUBB,Xultophy,39,32,Y,18-29,Female,"4,267.10"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AU,Ins degludec/liraglutide,0601023AUBB,Xultophy,9,8,Y,18-29,Male,859.77
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AU,Ins degludec/liraglutide,0601023AUBB,Xultophy,153,94,Y,30-39,Female,"17,068.16"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AU,Ins degludec/liraglutide,0601023AUBB,Xultophy,51,37,Y,30-39,Male,"4,712.87"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AU,Ins degludec/liraglutide,0601023AUBB,Xultophy,283,232,Y,40-49,Female,"36,842.63"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AU,Ins degludec/liraglutide,0601023AUBB,Xultophy,299,250,Y,40-49,Male,"37,352.37"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AU,Ins degludec/liraglutide,0601023AUBB,Xultophy,782,657,Y,50-59,Female,"91,454.39"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AU,Ins degludec/liraglutide,0601023AUBB,Xultophy,630,532,Y,50-59,Male,"81,487.05"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AU,Ins degludec/liraglutide,0601023AUBB,Xultophy,"1,661","1,422",Y,60+,Female,"215,070.06"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AU,Ins degludec/liraglutide,0601023AUBB,Xultophy,"1,811","1,531",Y,60+,Male,"239,430.20"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AW,Semaglutide,0601023AWAA,Semaglutide,4,0,N,18-29,Not Known (not recorded),293
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AW,Semaglutide,0601023AWAA,Semaglutide,4,0,N,30-39,Not Known (not recorded),512.75
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AW,Semaglutide,0601023AWAA,Semaglutide,11,0,N,40-49,Not Known (not recorded),"1,172.00"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AW,Semaglutide,0601023AWAA,Semaglutide,37,0,N,50-59,Not Known (not recorded),"3,442.75"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AW,Semaglutide,0601023AWAA,Semaglutide,75,0,N,60+,Not Known (not recorded),"7,764.50"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AW,Semaglutide,0601023AWAA,Semaglutide,232,188,Y,18-29,Female,"24,099.25"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AW,Semaglutide,0601023AWAA,Semaglutide,48,44,Y,18-29,Male,"5,347.25"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AW,Semaglutide,0601023AWAA,Semaglutide,873,710,Y,30-39,Female,"93,467.00"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AW,Semaglutide,0601023AWAA,Semaglutide,520,427,Y,30-39,Male,"56,988.50"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AW,Semaglutide,0601023AWAA,Semaglutide,"1,991","1,702",Y,40-49,Female,"224,657.75"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AW,Semaglutide,0601023AWAA,Semaglutide,"1,424","1,213",Y,40-49,Male,"155,070.25"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AW,Semaglutide,0601023AWAA,Semaglutide,"4,676","3,900",Y,50-59,Female,"498,466.25"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AW,Semaglutide,0601023AWAA,Semaglutide,"4,334","3,649",Y,50-59,Male,"453,124.50"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AW,Semaglutide,0601023AWAA,Semaglutide,"6,172","5,228",Y,60+,Female,"622,405.25"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AW,Semaglutide,0601023AWAA,Semaglutide,"8,668","7,299",Y,60+,Male,"868,598.50"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AW,Semaglutide,0601023AWBB,Ozempic,4,0,N,18-29,Not Known (not recorded),732.5
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AW,Semaglutide,0601023AWBB,Ozempic,10,0,N,30-39,Not Known (not recorded),805.75
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AW,Semaglutide,0601023AWBB,Ozempic,31,0,N,40-49,Not Known (not recorded),"3,076.50"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AW,Semaglutide,0601023AWBB,Ozempic,138,0,N,50-59,Not Known (not recorded),"12,892.00"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AW,Semaglutide,0601023AWBB,Ozempic,235,0,N,60+,Not Known (not recorded),"21,169.25"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AW,Semaglutide,0601023AWBB,Ozempic,"1,430","1,206",Y,18-29,Female,"135,512.50"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AW,Semaglutide,0601023AWBB,Ozempic,568,477,Y,18-29,Male,"62,116.00"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AW,Semaglutide,0601023AWBB,Ozempic,"5,836","4,844",Y,30-39,Female,"569,079.25"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AW,Semaglutide,0601023AWBB,Ozempic,"2,960","2,496",Y,30-39,Male,"285,675.00"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AW,Semaglutide,0601023AWBB,Ozempic,"15,007","12,368",Y,40-49,Female,"1,402,957.25"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AW,Semaglutide,0601023AWBB,Ozempic,"9,288","7,694",Y,40-49,Male,"861,639.75"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AW,Semaglutide,0601023AWBB,Ozempic,"30,027","24,806",Y,50-59,Female,"2,795,513.00"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AW,Semaglutide,0601023AWBB,Ozempic,"23,776","19,700",Y,50-59,Male,"2,175,232.00"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AW,Semaglutide,0601023AWBB,Ozempic,"36,842","30,593",Y,60+,Female,"3,345,620.50"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AW,Semaglutide,0601023AWBB,Ozempic,"42,542","35,681",Y,60+,Male,"3,830,901.75"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AW,Semaglutide,0601023AWBD,Wegovy,1,1,Y,40-49,Female,146.5
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AW,Semaglutide,0601023AWBD,Wegovy,2,2,Y,50-59,Female,366.25
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AW,Semaglutide,0601023AWBD,Wegovy,2,2,Y,50-59,Male,219.75
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AW,Semaglutide,0601023AWBD,Wegovy,8,2,Y,60+,Male,791.11
Dec 22 - Nov 23,Y60,MIDLANDS,0601023AZ,Tirzepatide,0601023AZAA,Tirzepatide,1,1,Y,60+,Male,140
Dec 22 - Nov 23,Y60,MIDLANDS,0601023Y0,Exenatide,0601023Y0AA,Exenatide,6,0,N,50-59,Not Known (not recorded),474.28
Dec 22 - Nov 23,Y60,MIDLANDS,0601023Y0,Exenatide,0601023Y0AA,Exenatide,11,0,N,60+,Not Known (not recorded),866.67
Dec 22 - Nov 23,Y60,MIDLANDS,0601023Y0,Exenatide,0601023Y0AA,Exenatide,5,3,Y,18-29,Female,400.92
Dec 22 - Nov 23,Y60,MIDLANDS,0601023Y0,Exenatide,0601023Y0AA,Exenatide,7,6,Y,18-29,Male,733.6
Dec 22 - Nov 23,Y60,MIDLANDS,0601023Y0,Exenatide,0601023Y0AA,Exenatide,50,44,Y,30-39,Female,"3,980.20"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023Y0,Exenatide,0601023Y0AA,Exenatide,15,14,Y,30-39,Male,"1,143.05"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023Y0,Exenatide,0601023Y0AA,Exenatide,181,121,Y,40-49,Female,"11,551.63"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023Y0,Exenatide,0601023Y0AA,Exenatide,114,95,Y,40-49,Male,"9,760.28"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023Y0,Exenatide,0601023Y0AA,Exenatide,441,403,Y,50-59,Female,"40,974.05"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023Y0,Exenatide,0601023Y0AA,Exenatide,495,419,Y,50-59,Male,"42,068.07"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023Y0,Exenatide,0601023Y0AA,Exenatide,"1,994","1,775",Y,60+,Female,"190,499.29"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023Y0,Exenatide,0601023Y0AA,Exenatide,4,4,Y,60+,Indeterminate (unable to be classified as either male or female),655.12
Dec 22 - Nov 23,Y60,MIDLANDS,0601023Y0,Exenatide,0601023Y0AA,Exenatide,"2,053","1,850",Y,60+,Male,"200,683.95"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023Y0,Exenatide,0601023Y0BB,Byetta,4,0,N,60+,Not Known (not recorded),327.56
Dec 22 - Nov 23,Y60,MIDLANDS,0601023Y0,Exenatide,0601023Y0BB,Byetta,58,54,Y,40-49,Female,"6,878.76"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023Y0,Exenatide,0601023Y0BB,Byetta,4,4,Y,40-49,Male,655.12
Dec 22 - Nov 23,Y60,MIDLANDS,0601023Y0,Exenatide,0601023Y0BB,Byetta,70,64,Y,50-59,Female,"6,305.53"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023Y0,Exenatide,0601023Y0BB,Byetta,73,67,Y,50-59,Male,"6,469.31"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023Y0,Exenatide,0601023Y0BB,Byetta,463,409,Y,60+,Female,"48,069.43"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023Y0,Exenatide,0601023Y0BB,Byetta,427,386,Y,60+,Male,"44,302.49"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023Y0,Exenatide,0601023Y0BC,Bydureon,6,0,N,50-59,Not Known (not recorded),440.16
Dec 22 - Nov 23,Y60,MIDLANDS,0601023Y0,Exenatide,0601023Y0BC,Bydureon,22,0,N,60+,Not Known (not recorded),"1,613.92"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023Y0,Exenatide,0601023Y0BC,Bydureon,1,1,Y,18-29,Female,73.36
Dec 22 - Nov 23,Y60,MIDLANDS,0601023Y0,Exenatide,0601023Y0BC,Bydureon,22,18,Y,18-29,Male,"1,613.92"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023Y0,Exenatide,0601023Y0BC,Bydureon,69,59,Y,30-39,Female,"5,502.00"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023Y0,Exenatide,0601023Y0BC,Bydureon,85,74,Y,30-39,Male,"7,262.64"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023Y0,Exenatide,0601023Y0BC,Bydureon,276,235,Y,40-49,Female,"20,705.86"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023Y0,Exenatide,0601023Y0BC,Bydureon,162,147,Y,40-49,Male,"12,251.12"
Dec 22 - Nov 23,Y60,MIDLANDS,0601023Y0,Exenatide,0601023Y0BC,Bydureon,705,624,Y,50-59,Female,"54,909.96"
